Code,Description,data length (without AI),AI_len,AI_start,mindatalen,maxdatalen,has_AI_dig,short_name
330y,Container Gross Weight (kg),6,4,330,6,6,FALSE,container_gross_wt_kg
331y,Container Length/1st Dimension (Meters),6,4,331,6,6,FALSE,container_length_x_m
332y,Container Width/Diameter/2nd Dimension (Meters),6,4,332,6,6,FALSE,container_length_y_m
333y,Container Depth/Thickness/3rd Dimension (Meters),6,4,333,6,6,FALSE,container_length_z_m
334y,Container Area (Square Meters),6,4,334,6,6,FALSE,container_area_m2
335y,Container Gross Volume (Liters),6,4,335,6,6,FALSE,container_gross_volume_L
336y,Container Gross Volume (Cubic Meters),6,4,336,6,6,FALSE,container_gross_volume_m3
340y,Container Gross Weight (Pounds),6,4,340,6,6,FALSE,container_gross_wt_lbs
341y,"Container Length/1st Dimension, in inches",6,4,341,6,6,FALSE,container_length_x_in
342y,"Container Length/1st Dimension, in feet",6,4,342,6,6,FALSE,container_length_x_ft
343y,"Container Length/1st Dimension in, in yards",6,4,343,6,6,FALSE,container_length_x_yd
344y,"Container Width/Diameter/2nd Dimension, in inches",6,4,344,6,6,FALSE,container_length_y_in
345y,"Container Width/Diameter/2nd Dimension, in feet",6,4,345,6,6,FALSE,container_length_y_ft
346y,"Container Width/Diameter/2nd Dimension, in yards",6,4,346,6,6,FALSE,container_length_y_yd
347y,"Container Depth/Thickness/Height/3rd Dimension, in inches",6,4,347,6,6,FALSE,container_length_z_in
348y,"Container Depth/Thickness/Height/3rd Dimension, in feet",6,4,348,6,6,FALSE,container_length_z_ft
349y,"Container Depth/Thickness/Height/3rd Dimension, in yards",6,4,349,6,6,FALSE,container_length_z_yd
350y,Product Area (Square Inches),6,4,350,6,6,FALSE,prod_area_in2
351y,Product Area (Square Feet),6,4,351,6,6,FALSE,prod_area_ft2
352y,Product Area (Square Yards),6,4,352,6,6,FALSE,prod_area_yd2
353y,Container Area (Square Inches),6,4,353,6,6,FALSE,container_area_in2
354y,Container Area (Square Feet),6,4,354,6,6,FALSE,container_area_ft2
355y,Container Area (Square Yards),6,4,355,6,6,FALSE,container_area_yd2
356y,Net Weight (Troy Ounces),6,4,356,6,6,FALSE,net_wt_troy_oz
357y,Net Weight/Volume (Ounces),6,4,357,6,6,FALSE,net_wt_vol_oz
360y,Product Volume (Quarts),6,4,360,6,6,FALSE,prod_volume_qt
361y,Product Volume (Gallons),6,4,361,6,6,FALSE,prod_volume_gal
362y,Container Gross Volume (Quarts),6,4,362,6,6,FALSE,container_gross_volume_qt
363y,Container Gross Volume (U.S. Gallons),6,4,363,6,6,FALSE,container_gross_volume_gal
364y,Product Volume (Cubic Inches),6,4,364,6,6,FALSE,prod_volume_in3
365y,Product Volume (Cubic Feet),6,4,365,6,6,FALSE,prod_volume_ft3
366y,Product Volume (Cubic Yards),6,4,366,6,6,FALSE,prod_volume_yd3
367y,Container Gross Volume (Cubic Inches),6,4,367,6,6,FALSE,container_gross_volume_in3
368y,Container Gross Volume (Cubic Feet),6,4,368,6,6,FALSE,container_gross_volume_ft3
369y,Container Gross Volume (Cubic Yards),6,4,369,6,6,FALSE,container_gross_volume_yd3
37,Number of Units Contained,"variable, up to 8",2,37,0,8,TRUE,unit_count
390y,Amount payable (local currency),"variable, up to 15",4,390,0,15,FALSE,amount_payable_local
391y,Amount payable (with ISO currency code),"variable, 3_18",4,391,3,18,FALSE,amount_payable_curcode
392y,Amount payable per single item (local currency),"variable, up to 15",4,392,0,15,FALSE,amount_payable_single_local
393y,Amount payable per single item (with ISO currency code),"variable, 3_18",4,393,3,18,FALSE,amount_payable_curcode
400,Customer Purchase Order Number,"variable, up to 30",3,400,0,30,TRUE,customer_po_num
401,Consignment Number,"variable, up to 30",3,401,0,30,TRUE,consignment_num
402,Bill of Lading number,17,3,402,17,17,TRUE,bill_of_landing_num
403,Routing code,"variable, up to 30",3,403,0,30,TRUE,routing_code
410,Ship To/Deliver To Location Code (Global Location Number),13,3,410,13,13,TRUE,ship_to_code_global
411,Bill To/Invoice Location Code (Global Location Number),13,3,411,13,13,TRUE,bill_to_code_global
412,Purchase From Location Code (Global Location Number),13,3,412,13,13,TRUE,purchase_from_code_global
413,"Ship for, Deliver for, or Forward to Location Code (Global Location Number)",13,3,413,13,13,TRUE,ship_for_code_global
414,Identification of a physical location (Global Location Number),13,3,414,13,13,TRUE,physical_location_global
420,Ship To/Deliver To Postal Code (Single Postal Authority),"variable, up to 20",3,420,0,20,TRUE,ship_to_postal
421,Ship To/Deliver To Postal Code (with ISO country code),"variable, 3_15",3,421,3,15,TRUE,ship_to_postal_countrycode
422,Country of Origin (ISO country code),3,3,422,3,3,TRUE,country_origin_iso
423,Country or countries of initial processing,"variable, 3_15",3,423,3,15,TRUE,country_initial_processing
424,Country of processing,3,3,424,3,3,TRUE,country_processing
425,Country of disassembly,3,3,425,3,3,TRUE,country_disassembly
426,Country of full process chain,3,3,426,3,3,TRUE,country_full_process
7001,NATO Stock Number (NSN),13,4,7001,13,13,TRUE,stock_num_NATO
7002,UN/ECE Meat Carcasses and cuts classification,"variable, up to 30",4,7002,0,30,TRUE,meat_cuts_classification
7003,expiration date and time,10,4,7003,10,10,TRUE,expiration_datetime
7004,Active Potency,"variable, up to 4",4,7004,0,4,TRUE,active_potency
703n,Processor approval (with ISO country code); n indicates sequence number of several processors,"variable, 3_30",4,703,3,30,FALSE,processor_approval_countrycode
8001,Roll Products: Width/Length/Core Diameter/Direction/Splices,14,4,8001,14,14,TRUE,roll_info
8002,Mobile phone identifier,"variable, up to 20",4,8002,0,20,TRUE,mobile_phone_id
8003,Global Returnable Asset Identifier,"variable, 14_30",4,8003,14,30,TRUE,returnable_asset_id
8004,Global Individual Asset Identifier,"variable, up to 30",4,8004,0,30,TRUE,individual_asset_id
8005,Price per Unit of Measure,6,4,8005,6,6,TRUE,amount_payable_permeasure
8006,identification of the components of an item,18,4,8006,18,18,TRUE,component_items_id
8007,International Bank Account Number,"variable, up to 30",4,8007,0,30,TRUE,bank_account_num
8008,Date/time of production,"variable, 8_12",4,8008,8,12,TRUE,production_datetime
8018,Global Service Relationship Number,18,4,8018,18,18,TRUE,service_relationship_num
8020,Payment slip reference number,"variable, up to 25",4,8020,0,25,TRUE,receipt_ref_num
8100,Coupon Extended Code: Number System and Offer,6,4,8100,6,6,TRUE,cec_numsys_offer
8101,"Coupon Extended Code: Number System, Offer, End of Offer",10,4,8101,10,10,TRUE,cec_numsys_offer_endoffer
8102,Coupon Extended Code: Number System preceded by 0,2,4,8102,2,2,TRUE,cec_0numsys
8110,Coupon code ID (North America),"variable, up to 30",4,8110,0,30,TRUE,coupon_code_id_NA
8200,Extended Packaging URL,"variable, up to 70",4,8200,0,70,TRUE,extended_packaging_url
90,Mutually Agreed Between Trading Partners,"variable, up to 30",2,90,0,30,TRUE,mutually_agreed_code
91,Internal Company Codes,"variable, up to 30",2,91,0,30,TRUE,internal_1
92,Internal Company Codes,,2,92,0,100,TRUE,internal_2
93,Internal Company Codes,,2,93,0,100,TRUE,internal_3
94,Internal Company Codes,,2,94,0,100,TRUE,internal_4
95,Internal Company Codes,,2,95,0,100,TRUE,internal_5
96,Internal Company Codes,,2,96,0,100,TRUE,internal_6
97,Internal Company Codes,,2,97,0,100,TRUE,internal_7
98,Internal Company Codes,,2,98,0,100,TRUE,internal_8
99,Internal Company Codes,,2,99,0,100,TRUE,internal_9
