Code,Description,data length (without AI),AI_len,AI_start,mindatalen,maxdatalen,has_AI_dig,short_name
00,Serial Shipping Container Code (SSCC),18,2,00,18,18,TRUE,SCCC
01,Global Trade Item Number (GTIN),14,2,01,14,14,TRUE,GTIN
02,GTIN of Contained Trade Items,14,2,02,14,14,TRUE,GTIN_CTI
10,Batch/Lot Number,"variable, up to 20",2,10,0,20,TRUE,batch_num
11,Production Date,6,2,11,6,6,TRUE,production_date
12,Due Date,6,2,12,6,6,TRUE,due_date
13,Packaging Date,6,2,13,6,6,TRUE,packaging_date
15,Best Before Date (YYMMDD),6,2,15,6,6,TRUE,best_before_date
17,Expiration Date,6,2,17,6,6,TRUE,expiration_date
20,Product Variant,2,2,20,2,2,TRUE,prod_variant
21,Serial Number,"variable, up to 20",2,21,0,20,TRUE,serial_num
22,Secondary Data Fields,"variable, up to 29",2,22,0,29,TRUE,secondary_data
23n,Lot number n,"variable, up to 19",3,23,0,19,FALSE,lot_num
240,Additional Product Identification,"variable, up to 30",3,240,0,30,TRUE,additional_prod_id
241,Customer Part Number,"variable, up to 30",3,241,0,30,TRUE,cust_part_num
242,Made-to-Order Variation Number,"variable, up to 6",3,242,0,6,TRUE,made_to_order_variation_num
250,Secondary Serial Number,"variable, up to 30",3,250,0,30,TRUE,serial_num_2
251,Reference to Source Entity,"variable, up to 30",3,251,0,30,TRUE,ref_source_entity
253,Global Document Type Identifier,"variable, 13_17",3,253,13,17,TRUE,global_doc_type_id
254,GLN Extension Component,"variable, up to 20",3,254,0,20,TRUE,GLN_ext_component
255,Global Coupon Number (GCN),"variable, 13_25",3,255,13,25,TRUE,global_coupon_num
30,Count of items,"variable, up to 8",2,30,0,8,TRUE,item_count
310y,Product Net Weight in kg,6,4,310,6,6,FALSE,prod_net_wt_kg
311y,"Product Length/1st Dimension, in meters",6,4,311,6,6,FALSE,prod_length_x_m
312y,"Product Width/Diameter/2nd Dimension, in meters",6,4,312,6,6,FALSE,prod_length_y_m
313y,"Product Depth/Thickness/Height/3rd Dimension, in meters",6,4,313,6,6,FALSE,prod_length_z_m
314y,"Product Area, in square meters",6,4,314,6,6,FALSE,prod_area_m2
315y,"Product Net Volume, in liters",6,4,315,6,6,FALSE,prod_net_volume_L
316y,"Product Net Volume, in cubic meters",6,4,316,6,6,FALSE,prod_net_volume_m3
320y,"Product Net Weight, in pounds",6,4,320,6,6,FALSE,prod_net_wt_lbs
321y,"Product Length/1st Dimension, in inches",6,4,321,6,6,FALSE,prod_length_x_in
322y,"Product Length/1st Dimension, in feet",6,4,322,6,6,FALSE,prod_length_x_ft
323y,"Product Length/1st Dimension, in yards",6,4,323,6,6,FALSE,prod_length_x_yd
324y,"Product Width/Diameter/2nd Dimension, in inches",6,4,324,6,6,FALSE,prod_length_y_in
325y,"Product Width/Diameter/2nd Dimension, in feet",6,4,325,6,6,FALSE,prod_length_y_ft
326y,"Product Width/Diameter/2nd Dimension, in yards",6,4,326,6,6,FALSE,prod_length_y_yd
327y,"Product Depth/Thickness/Height/3rd Dimension, in inches",6,4,327,6,6,FALSE,prod_length_z_in
328y,"Product Depth/Thickness/Height/3rd Dimension, in feet",6,4,328,6,6,FALSE,prod_length_z_ft
329y,"Product Depth/Thickness/3rd Dimension, in yards",6,4,329,6,6,FALSE,prod_length_z_yd
